"",ticker,名称,注册地,成立日期,行业,员工人数,公司介绍,港股通,市值(港元),股息率TTM(%),PE,PB
0,00001,长江和记实业有限公司,Cayman Islands 开曼群岛（英属）,2014-12-11,综合企业,173817.0,"长江和记实业有限公司(长江和记实业)是业务遍布全球的大型跨国综合企业,一向锐意创新,在不同业务范畴广泛应用新科技。 集团在全球超过50个国家/市场经营多元化业务,雇用超过30万名员工。\r\n长江和记实业从事多元化的业务,从全球最大的港口和零售业务,以至基建及创新先进的电讯与数据业务等。\r\n长江和记实业集团之业务在十九世纪始创于香港,现已覆盖全球。行政人员和雇员来自不同的文化背景,反映集团业务的多元特色及辽阔版图。长江和记实业全力维持最高的企业管治、透明度与问责水平,并得到业界认同,赢得多个奖项与荣誉。\r\n长江和记实业截至2024年12月31日止年度之营业额约为4,770亿元(610亿美元)。",True,2.435908e+11,3.496855,31.492027,0.439069
1,00002,中电控股有限公司,中国香港特别行政区,1901-01-25,公用事业,8442.0,"中电控股有限公司在香港经营纵向式的发电、输电和配电服务以及零售业务,致力为香港八成人口供应源源不息的动力。中电透过与南方电网国际(香港)有限公司组成的合营公司青山发电有限公司(青电),营运青山发电厂、龙鼓滩发电厂、竹篙湾发电厂,以及在新界西堆填区的堆填沼气发电项目(中电绿源)。截至2022年6月30日,中电在香港的总发电容量(包括正在营运及兴建中的机组)为8,268兆瓦。中电同时从广东大亚湾核电站输电到港。此外,公司更营运总长超过16,600公里的输电及配电线路和超过15,500个变电站。\n公司在香港的业务受管制计划协议所规管。协议监察公司的营运表现,及订明公司的投资及回报水平。多年来管制计划一直行之有效,确保公司为香港供应的电力服务达世界级的可靠水平、价格合理并符合环保表现。公司和社会大众同样关注环境,多年前早已致力采纳较洁净的燃料发电。由九十年代初至今,尽管香港的用电需求上升接近九成,公司的空气污染物排放量却大幅下降超过九成。\n集团在中国内地的发电能源组合包括除了燃煤及和核能外,还有水电、太阳能及风电等可再生能源。截至2022年6月30日,公司在国内投资发电及储能容量合计8,700兆瓦,业务遍及16个省、自治区和直辖市,投资总额超过600亿港元。中电持续推动能源转型,於中国内地发展可再生能源,寻求智能生活业务的投资机会,致力为大湾区提供多元化的能源服务。\n为响应内地政府应对气候变化及降低碳排放强度的目标,公司采取了一系列不同的相应措施。公司会继续以负责任的态度管理旗下的项目和业务营运,减少对环境方面的影响,并恪守一切相关的规例和标准。\n在关怀社群方面,公司的员工热心投入義工服务,尤其专注青少年教育和环保活动,成为了中电融入当地的重要平台。\n公司乐於与国内同业分享公司的专业知识,以协助内地电力行业建立均衡和稳健的发展架构。集团的目标是在内地建立长远和可持续发展的业务。\n中电早於21世纪初已踏足澳洲市场。2011年,公司完成收购位於新南威尔斯省的 EnergyAustralia 零售业务。作为澳洲规模最大的综合能源公司之一,EnergyAustralia 经营包括自有和外购发电容量的均衡业务组合,包括燃煤和天然气发电设施, 以及风电、太阳能和储能系统等新能源。截至2022年6月30日,EnergyAustralia发电及储能容量包括长期购电协议共5,786兆瓦。同时,EnergyAustralia 为245万在维多利亚州、南澳州、新南威尔斯州、澳洲首都领地及昆士兰州的用户提供电力和燃气零售服务。\nEnergyAustralia 全力支持当地社群的发展。故此,公司跟澳洲一些有名声的组织,建立策略合作伙伴关系,以支持当地的体育运动以及公司经营地的社区发展,从而协助改善各项设施和环境。\nApraava Energy (前称中电印度)拥有多个风电和太阳能项目,其资产亦包括位於哈里亚纳邦的哈格尔的超临界燃煤发电项目,以及在古加拉特邦区的Paguthan设有燃气发电项目。截至2022年6月30日,中电在印度的权益发电容量达2,040兆瓦,同时扩展业务组合至输电领域,包括投资印度东北部一个全长254公里的跨邦输电项目,及一个位於中央邦长达240公里的邦内输电项目。\n2018年,公司引入环球机构投资者 Caisse de depot et placement du Québec (CDPQ)作为策略性股东,令中电的印度业务更具备条件,把握在低碳领域投资的机会。\nApraava Energy 在业务所在地积极参与各项社区工作,尤其关注健康及教育问题,致力改善当地居民的生活质素。\n展望未来,Apraava Energy 将继续为当地发展灌注动力,严格遵守国际最高的营运及安全标准,并致力为数以百万计的居民提供价格合理和可持续的电力服务。\n中电在区内的投资包括台湾和平电厂以及泰国的Lopburi太阳能电厂,净权益容量共285兆瓦。\n和平电厂於2002年投产,中电持有该电厂的20%权益。根据台湾法例,和平电厂将在未来数年投资可再生能源。\n中电持有位於泰国的Lopburi太阳能电厂的1/3 股权,是中电发电组合中首个具备规模的太阳能发电项目,并於2012年全面投入营运。中电将继续探索在东南亚及台湾投资可再生能源发电的新机遇。",True,1.932735e+11,4.117647,16.931535,1.826954
2,00003,香港中华煤气有限公司,中国香港特别行政区,1862,公用事业,2155.0,"香港中华煤气有限公司(煤气公司)于1862年成立,是香港历史最悠久的公用事业机构,亦是本港规模最大的能源供应商之一,企业管理和营运均达到世界级水平。煤气公司多年来一直与时并进,与香港一起成长,由初期供应煤气用于燃点街灯,发展到今天,为广大市民,以至各行各业,提供安全、可靠的能源方案,在大中华能源行业领先同侪。煤气公司于1994年发展内地市场。目前,公司在内地共有逾970个项目,包括可再生能源方案(如太阳能光伏系统)、城市管道燃气、气源供应链、供水及城市废物资源化利用、新兴环保能源等,业务遍布全国29个省级地区。近年,公司大力发展清洁能源方案,涵盖海、陆、空,包括氢能、船用绿甲醇,以及可持续航空燃料等,努力实现碳中和的愿景。",True,1.446140e+11,4.516129,25.662164,2.510154
3,00004,九龙仓集团有限公司,中国香港特别行政区,1886-11-15,地产,6000.0,"九龙仓集团有限公司(‘九龙仓’,股份代号:0004)始创于1886年,历史悠久,是香港第17间成立的公司,扎根香港,实力雄厚。恒生指数在五十多年前成立时,九龙仓已是首批被纳入成份股的30间公司之一,至今仍是交投最活跃及最多人持有的本地蓝筹股之一。集团凭藉‘创建明天’这理念,以及卓越的管理及执行力,多年来表现稳健及具高效益。为提供选择予投资者,九龙仓集团在2017年11月分拆香港的投资物业,由姊妹公司主理并独立上市,冀让集团业务更聚焦。今天,九龙仓集团有限公司的业务以香港及中国物业为主,辅以九龙仓酒店及其在亚洲经营扩充中的酒店组合、主力营运香港物流业务的九龙仓物流分部,及刚开始投资在中国新经济的CME2。九龙仓的山顶物业组合重新定义奢华生活的概念,呈献一系列位于山顶显赫地段的尊贵豪华住宅,充分体现在城中最叫人梦寐以求的优越地段的尊尚生活品味。其中,MountNicholson的销售纪录屡创新高,令其多次成为媒体头条。其它山顶物业组合中的重建项目包括种植道1号、种植道11号及山顶道77号。集团另一聚焦地产项目为‘九龙东海旁物业组合’,该组合位于政府‘起动九龙东’计划内所属的第二个富吸引力的香港核心商业区内,前临全长五百米的海岸线,尽享维港景致。8BayEast已于2017年出售;此外,集团正在评估各种重建九龙货仓的方案。集团的内地投资物业以国际金融中心系列为主导,各项目均座落所在城市的中央商务区或新中央商务区的核心地带。凭藉其优越位置、卓越规划及设计、零售商及消费者的群聚效应以及顶尖的管理,各国际金融中心项目均定位为当地市场的潮流指标式地标。成都国际金融中心(2014年开业)及长沙国金中心(2018年年中分阶段开业)在规模及重要性上均足以媲美香港的海港城。规模较小的重庆国金中心则已于2017年开业。集团内地发展物业的土地储备现时维持在390万平方米,主要聚焦六个城市,并以北京、上海、苏州及杭州牵头。以集团应占份额计算,2017年已签约出售的总楼面面积为90万平方米,同年新购入的土地总楼面面积为70万平方米,2018年截至目前新购入的土地总楼面面积为60万平方米。年终未确认销售额所占的总楼面面积为80万平方米(价值约人民币192亿元)。九龙仓酒店在亚洲经营及管理的酒店网络已逐步扩展至16间。这一系列酒店包括三间极富现代都会时尚触觉的尼依格罗酒店(包括刚开业的TheMurray,HongKong)以及13间分布在中国、香港和菲律宾的马哥孛罗酒店。未来两年,将有两间新的尼依格罗酒店开业。物流分部由现代货箱码头及香港空运货站组成,两者皆是香港成功作为国际贸易及交通枢纽多年来不可或缺的一环。",True,7.896775e+10,1.547988,-1518.610502,0.551051
4,00005,汇丰控股有限公司,United Kingdom 英国,1959-01-01,银行,211130.0,"汇丰控股有限公司设于伦敦,汇丰集团是全球最大规模的银行及金融服务机构之一,在欧洲、亚太区、美洲、中东及非洲等87个国家和地区设有约8,000个办事处。集团透过四个客户群及环球业务提供全面的金融服务,计有:零售银行及财富管理业务、工商业务、企业银行、投资银行及资本市场,以及私人银行。香港上海汇丰银行是汇丰集团的始创成员,于1865年3月及4月先后在香港和上海成立。该行是汇丰集团在亚太区的旗舰,也是香港最大的本地注册银行。",True,2.304917e+12,3.822935,17.888144,1.547077
5,00006,电能实业有限公司,中国香港特别行政区,1976-04-09,公用事业,16.0,"电能实业有限公司是一间国际能源投资公司,投资项目包括发电及输配电、可再生能源、转废为能、配气及输油业务。电能实业一直着眼于稳定及规划良好的国际能源市场,以期在公司专长的业务领域上寻求发展机遇。公司的业务遍布香港、英国、澳洲、新西兰、中国内地、美国、加拿大、泰国及荷兰,为世界各地约1,950万名客户提供稳定的能源及缔造优质生活。电能实业于香港联合交易所上市,为香港恒生指数成份股之一。此外,公司亦入选为‘恒生可持续发展企业指数’成份股。",True,1.326613e+11,4.530120,21.553419,1.491968
6,00007,智富资源投资控股集团有限公司,Bermuda 百慕大,2000-05-30,家庭电器及用品,88.0,"智富资源投资控股集团有限公司(简称:智富资源投资),是香港联合交易所主板上巿公司,股票编号:00007,英文名称为Wisdom Wealth Resources Investment Holding Group Limited(简称:WISDOMWEALTH),网址:WWRI007.com。许智铭博士其全资企业香港金融投资有限公司,香港金融股权投资有限公司,香港金融股权管理有限公司和香港金融股权控股有限公司,合共持有智富资源投资集团3,755,351,112股股份,占智富资源投资集团已发行股份的66.93%,是智富资源投资集团的控股股东。其他公众股东合共持有智富资源投资集团1,855,180,282股股份,占智富资源投资集团已发行股份的33.07%。智富资源投资集团拥有石油天然气及矿产资源,房地产及物业资产,国际贸易及金融证券四大板块产业。智富资源投资集团所拥有的石油天然气及矿产资源,是智富资源投资集团的重要组成资产。经巴布亚新几内亚政府当局批准,智富资源投资集团获得巴布亚湾基科里三角洲2.33万平方公里范围,进行港口码头建设及经营和沙石开采及出口的持续有效独家专营权。智富资源投资集团拥有肯尼亚面积为1,056平方公里的第253号铜矿场和肯尼亚面积为417平方公里的第341号金矿场之勘探开采经营权及约定分成权益。智富资源投资集团还拥有位於突尼西亚和马达加斯加共和国的6块油气田,合共面积为12652平方公里。这些石油天然气区块分别拥有约定勘探期开采经营及约定分成权益。智富资源投资集团拥有位於广东湛江智慧城房地産大型综合开发经营项目。智慧城占地500亩,规划用地面积26.5万平方米,建筑面积130多万平方米。智富资源投资集团还拥有北京荣宁园项目的相关物业资产。智富资源投资集团还拥有位於马达加斯加共和国首都塔那那利佛巿的兰花酒店及其配套开发用地。智富资源投资集团的投资经营业务还包括环保项目发展及国际贸易,并於深圳前海设立进出口贸易公司,进行国际进出口贸易业务。智富资源投资集团全资公司高信金融集团持有1,2,4,6,8及9类香港金融经营牌照,并长期持续进行金融及证券投资经营业务。",False,1.073645e+08,NaN,-1.586074,0.051336
7,00008,电讯盈科有限公司,中国香港特别行政区,1979-04-24,电讯,14400.0,"电讯盈科有限公司(PCCW)是一间投资控股公司。该公司的“太平洋世纪溢价发展”(PCPD)专注于印度尼西亚,日本和泰国的发展项目。该公司业务部门包括香港有限公司,媒体业务,解决方案业务,PCPD及其他业务。该公司从事提供电信及相关服务,包括本地电话,本地数据和宽带,国际电信,手机等电信业务,如客户端设备销售; 在香港特别行政区和世界其他地区提供付费电视(付费电视)服务,互联网门户数字媒体娱乐平台; 投资和开发系统集成,网络工程和技术相关业务,以及物业和基础设施项目的开发和管理以及物业投资。是一个以香港为总部的环球公司,在电讯、媒体、企业方案、地产发展及其他投资均持有权益。",True,4.679649e+10,6.332781,-184.966346,-23.802892
8,00010,恒隆集团有限公司,中国香港特别行政区,1960-09-13,地产,3934.0,"恒隆集团有限公司(香港联交所股份代号:00010)是香港最具资历的上市公司之一,在物业发展市场拥有逾60年经验。透过附属公司恒隆地产有限公司(香港联交所股份代号:00101),公司在香港和内地享有尊崇地位,被公认为一家‘以客为尊’及重视质量的顶级地产发展商。公司在香港拥有庞大的物业组合,涵盖大型商场、办公楼与供销售和租赁的住宅物业,全部均以精心策划及地点优越而着称。早于1990年代初,公司便在内地作出首项投资,为日后发展内地业务迈出第一步。公司在内地的业务策略是于主要城市的黄金地段发展最优质的物业。时至今日,集团的多元化物业组合覆盖9个内地城市,包括上海、沈阳、济南、无锡、天津、大连、昆明、武汉和杭州。公司在内地的物业组合均以恒隆广场‘66’品牌命名、定位高端,成功在内地奠定作为‘城市脉动’的领导地位。随着公司的业务基础和网络日益壮大,公司清楚集团对营运所在的环境及社区有着举足轻重的影响,亦需为下一代肩负更大的责任和义务。继制定了一系列2030年可持续发展目标及指标后,公司更进一步定下了25个将于2025年年底前实现的指标(‘25x25可持续发展指标’或‘25x25’),并承诺于2050年前实现净零价值链温室气体排放,为应对重大可持续发展挑战制定具体及可量化的措施,亦为公司矢志成为全球领先可持续发展房地产公司的目标定下明确议程。公司与附属公司恒隆地产坚守秉承‘只选好的 只做对的’的品牌理念。",True,2.286157e+10,5.122096,16.687278,0.231203
9,00012,恒基兆业地产有限公司,中国香港特别行政区,1976-01-16,地产,9997.0,"恒基兆业地产有限公司自1981年于香港上市,至今已发展成为一家具领导地位之地产发展集团,业务遍及香港和内地。集团致力建设高素质之新型住宅及商业项目,并屡获殊荣,其中具代表性之项目包括香港的The Henderson、国际金融中心综合发展项目,和北京的环球金融中心等城市地标,以及卓越非凡的豪华住宅如迎海、THEHENLEY、高尔夫御苑和本木等。恒基兆业地产集团的核心业务为物业发展和物业投资。此外亦持有两间上市附属公司,即恒基兆业发展有限公司和美丽华酒店企业有限公司,以及两间上市联营公司,即香港中华煤气有限公司(该公司持有一间上市附属公司港华智慧能源有限公司之股份权益)及香港小轮(集团)有限公司。彼此业务发挥协同效益,为集团带来相辅相成之优势。恒基地产乃由李兆基博士大紫荆勋贤于1976年所创立,并担任主席兼董事总经理,直至彼于2019年5月28日退任为止,并继续留任为执行董事。李家杰博士及李家诚博士于2019年5月28日各获委任为恒基地产之主席兼董事总经理。时至今日,恒基地产经已成为香港最大的企业集团之一,雇用约10,000名全职雇员,并为全香港拥有最多农地之发展商,内地亦有庞大之土地储备。李兆基博士乃香港地产界之先驱,其非凡的智慧和识见深受业界尊崇,推动集团迈步向前。恒基地产致力提供最优质产品、最称心服务,及最切合环保及可持续发展需要,务求对股东、客户以至社会大众均能提升价值。集团经常与国际着名的建筑师和专业人士携手合作,创造经典之现代建筑,以配合整体之自然及小区环境。公司以垂直整合方式经营,有效融合整项发展程序的每个阶段,确保在设计、发展、建筑以至项目管理皆保持稳定的高水平。集团正致力于香港及内地同步作长远之业务发展,凭借一贯优良的建造及管理水平、创新设计,和致力贡献社会的承诺,建造更多标志性之商业及住宅项目,以巩固集团建立多年之良好信誉。",True,1.583134e+11,5.504587,26.254288,0.494516
